11,96,"{'Left': 404, 'Top': 437, 'Right': 839, 'Bottom': 470, 'title': 'lcgTitleBar', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
12,97,"{'Left': 528, 'Top': 437, 'Right': 815, 'Bottom': 470, 'title': 'esiTitleAndButton', 'auto_id': None, 'control_type': 'Custom', 'found_index': 0}"
11,98,"{'Left': 404, 'Top': 471, 'Right': 839, 'Bottom': 472, 'title': 'lcgLine', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
8,99,"{'Left': 404, 'Top': 518, 'Right': 839, 'Bottom': 673, 'title': None, 'auto_id': 'TitleContainer', 'control_type': 'Pane', 'found_index': 0}"
9,100,"{'Left': 404, 'Top': 518, 'Right': 839, 'Bottom': 673, 'title': 'The XtraLayoutControl', 'auto_id': 'mainContainerTitleContainer', 'control_type': 'Pane', 'found_index': 0}"
10,101,"{'Left': 815, 'Top': 523, 'Right': 839, 'Bottom': 547, 'title': None, 'auto_id': 'sbHideUnhide', 'control_type': 'Button', 'found_index': 0}"
10,102,"{'Left': 409, 'Top': 523, 'Right': 569, 'Bottom': 541, 'title': 'Reference Conditions', 'auto_id': 'titleLabelTitleContainer', 'control_type': 'Text', 'found_index': 0}"
10,103,"{'Left': 406, 'Top': 555, 'Right': 837, 'Bottom': 581, 'title': None, 'auto_id': 'ExclMultipleChoiceInputControl', 'control_type': 'Pane', 'found_index': 0}"
11,104,"{'Left': 406, 'Top': 555, 'Right': 837, 'Bottom': 581, 'title': 'The XtraLayoutControl', 'auto_id': 'lcMain', 'control_type': 'Pane', 'found_index': 0}"
12,105,"{'Left': 416, 'Top': 557, 'Right': 619, 'Bottom': 579, 'title': 'Reference List:', 'auto_id': 'lblTitle', 'control_type': 'Text', 'found_index': 0}"
12,106,"{'Left': 623, 'Top': 557, 'Right': 835, 'Bottom': 579, 'title': None, 'auto_id': '68710', 'control_type': 'ComboBox', 'found_index': 0}"
13,107,"{'Left': 818, 'Top': 558, 'Right': 834, 'Bottom': 578, 'title': 'Open', 'auto_id': None, 'control_type': 'Button', 'found_index': 0}"
14,109,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'Custom', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,110,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'ISO1217', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,111,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'ISO1343', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,112,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'Standard', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,113,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'ASME', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,114,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'CAGI', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,115,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'Canada', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,116,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'US', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
12,117,"{'Left': 406, 'Top': 555, 'Right': 837, 'Bottom': 581, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
13,118,"{'Left': 621, 'Top': 555, 'Right': 837, 'Bottom': 581, 'title': 'lcgColumnContainer', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
10,119,"{'Left': 406, 'Top': 585, 'Right': 837, 'Bottom': 611, 'title': None, 'auto_id': 'SimpleInputControl', 'control_type': 'Pane', 'found_index': 0}"
11,120,"{'Left': 406, 'Top': 585, 'Right': 837, 'Bottom': 611, 'title': 'The XtraLayoutControl', 'auto_id': 'mainSimpleInputControl', 'control_type': 'Pane', 'found_index': 0}"
12,121,"{'Left': 674, 'Top': 587, 'Right': 755, 'Bottom': 609, 'title': None, 'auto_id': 'cbeSelectableValues', 'control_type': 'ComboBox', 'found_index': 0}"
13,122,"{'Left': 738, 'Top': 588, 'Right': 754, 'Bottom': 608, 'title': 'Open', 'auto_id': None, 'control_type': 'Button', 'found_index': 0}"
14,124,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'Pa(a)', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,125,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'kPa(a)', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,126,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'bar(a)', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,127,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'mbar(a)', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,128,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'PSI(a)', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,129,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'mmAq(a)', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,130,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'm asl', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,131,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'ft asl', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
12,132,"{'Left': 416, 'Top': 587, 'Right': 670, 'Bottom': 609, 'title': 'Pressure:', 'auto_id': 'lblInputTitle', 'control_type': 'Text', 'found_index': 0}"
12,133,"{'Left': 759, 'Top': 587, 'Right': 835, 'Bottom': 609, 'title': None, 'auto_id': 'textEditSimpleInputControl', 'control_type': 'Edit', 'found_index': 0}"
13,134,"{'Left': 765, 'Top': 590, 'Right': 829, 'Bottom': 606, 'title': None, 'auto_id': '68732', 'control_type': 'Edit', 'found_index': 0}"
12,135,"{'Left': 406, 'Top': 585, 'Right': 837, 'Bottom': 611, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
10,136,"{'Left': 406, 'Top': 615, 'Right': 837, 'Bottom': 641, 'title': None, 'auto_id': 'SimpleInputControl', 'control_type': 'Pane', 'found_index': 0}"
11,137,"{'Left': 406, 'Top': 615, 'Right': 837, 'Bottom': 641, 'title': 'The XtraLayoutControl', 'auto_id': 'mainSimpleInputControl', 'control_type': 'Pane', 'found_index': 0}"
12,138,"{'Left': 674, 'Top': 617, 'Right': 755, 'Bottom': 639, 'title': None, 'auto_id': 'cbeSelectableValues', 'control_type': 'ComboBox', 'found_index': 0}"
13,139,"{'Left': 738, 'Top': 618, 'Right': 754, 'Bottom': 638, 'title': 'Open', 'auto_id': None, 'control_type': 'Button', 'found_index': 0}"
14,141,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': 'K', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,142,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': '°C', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
14,143,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': '°F', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
12,144,"{'Left': 416, 'Top': 617, 'Right': 670, 'Bottom': 639, 'title': 'Temperature:', 'auto_id': 'lblInputTitle', 'control_type': 'Text', 'found_index': 0}"
12,145,"{'Left': 759, 'Top': 617, 'Right': 835, 'Bottom': 639, 'title': None, 'auto_id': 'textEditSimpleInputControl', 'control_type': 'Edit', 'found_index': 0}"
13,146,"{'Left': 765, 'Top': 620, 'Right': 829, 'Bottom': 636, 'title': None, 'auto_id': '68754', 'control_type': 'Edit', 'found_index': 0}"
12,147,"{'Left': 406, 'Top': 615, 'Right': 837, 'Bottom': 641, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
10,148,"{'Left': 406, 'Top': 645, 'Right': 837, 'Bottom': 671, 'title': None, 'auto_id': 'SimpleInputControl', 'control_type': 'Pane', 'found_index': 0}"
11,149,"{'Left': 406, 'Top': 645, 'Right': 837, 'Bottom': 671, 'title': 'The XtraLayoutControl', 'auto_id': 'mainSimpleInputControl', 'control_type': 'Pane', 'found_index': 0}"
12,150,"{'Left': 674, 'Top': 647, 'Right': 755, 'Bottom': 669, 'title': None, 'auto_id': 'cbeSelectableValues', 'control_type': 'ComboBox', 'found_index': 0}"
13,151,"{'Left': 738, 'Top': 648, 'Right': 754, 'Bottom': 668, 'title': 'Open', 'auto_id': None, 'control_type': 'Button', 'found_index': 0}"
14,153,"{'Left': 0, 'Top': 0, 'Right': 0, 'Bottom': 0, 'title': '%', 'auto_id': None, 'control_type': 'ListItem', 'found_index': 0}"
12,154,"{'Left': 416, 'Top': 647, 'Right': 670, 'Bottom': 669, 'title': 'Relative Humidity:', 'auto_id': 'lblInputTitle', 'control_type': 'Text', 'found_index': 0}"
12,155,"{'Left': 759, 'Top': 647, 'Right': 835, 'Bottom': 669, 'title': None, 'auto_id': 'textEditSimpleInputControl', 'control_type': 'Edit', 'found_index': 0}"
13,156,"{'Left': 765, 'Top': 650, 'Right': 829, 'Bottom': 666, 'title': None, 'auto_id': '68776', 'control_type': 'Edit', 'found_index': 0}"
12,157,"{'Left': 406, 'Top': 645, 'Right': 837, 'Bottom': 671, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
10,158,"{'Left': 404, 'Top': 518, 'Right': 839, 'Bottom': 673, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
11,159,"{'Left': 404, 'Top': 553, 'Right': 839, 'Bottom': 673, 'title': 'lcgContents', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
11,160,"{'Left': 404, 'Top': 551, 'Right': 839, 'Bottom': 552, 'title': 'simpleSeparator1', 'auto_id': None, 'control_type': 'Separator', 'found_index': 0}"
11,161,"{'Left': 404, 'Top': 518, 'Right': 839, 'Bottom': 551, 'title': 'lcgTitleBar', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
12,162,"{'Left': 574, 'Top': 518, 'Right': 815, 'Bottom': 551, 'title': 'esiTitleAndButton', 'auto_id': None, 'control_type': 'Custom', 'found_index': 0}"
11,163,"{'Left': 404, 'Top': 552, 'Right': 839, 'Bottom': 553, 'title': 'lcgLine', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
8,164,"{'Left': 404, 'Top': 506, 'Right': 839, 'Bottom': 508, 'title': None, 'auto_id': 'TitleContainer', 'control_type': 'Pane', 'found_index': 0}"
9,165,"{'Left': 404, 'Top': 506, 'Right': 839, 'Bottom': 508, 'title': 'The XtraLayoutControl', 'auto_id': 'mainContainerTitleContainer', 'control_type': 'Pane', 'found_index': 0}"
10,166,"{'Left': 404, 'Top': 506, 'Right': 839, 'Bottom': 508, 'title': 'Root', 'auto_id': None, 'control_type': 'Pane', 'found_index': 0}"
8,167,"{'Left': 404, 'Top': 512, 'Right': 839, 'Bottom': 514, 'title': None, 'auto_id': 'TitleContainer', 'control_type': 'Pane', 'found_index': 0}"
